#MATRIX_SIZE : 2048
#START : dimanche 13 mai 2012, 17:03:09 (UTC+0200)
#num_iteration	ydim_gpu	speedup
set zlabel "accélération"
13	256	5.4140294
13	320	6.8872984
13	384	4.7960018
13	448	6.6804
13	512	7.3527034
13	576	5.2817434
13	640	7.1804256
13	704	3.283578
13	768	7.5185894
13	832	5.9782678
13	896	6.5329132
13	960	7.7484016
13	1024	4.684261
13	1088	7.3475644
13	1152	1.8170526
13	1216	7.111452
13	1280	6.109253
13	1344	6.4768234
13	1408	4.5368432
13	1472	5.9180962
13	1536	4.5764382
13	1600	4.7994192
13	1664	5.1948382
13	1728	3.8945706
13	1792	4.267321
13	1856	4.9029374
13	1920	4.371367
13	1984	4.2112988
13	2048	0
14	0	4.5605586
14	64	4.5580916
14	128	4.1315568
14	192	5.0023662
14	256	6.0853866
14	320	6.2814818
14	384	6.5002528
14	448	5.7001218
14	512	7.328652
14	576	3.074751
14	640	0
14	704	6.4757368
14	768	7.3272896
14	832	4.9619302
14	896	7.0725628
14	960	3.0482966
14	1024	6.7524998
14	1088	6.4746828
14	1152	6.2860168
14	1216	5.6109614
14	1280	5.865073
14	1344	2.25856
14	1408	5.512887
14	1472	5.016337
14	1536	6.3795972
14	1600	2.2028686
14	1664	4.1648138
14	1728	4.4388492
14	1792	5.9344638
14	1856	4.6560222
14	1920	5.9629004
14	1984	3.8790808
14	2048	2.3602706
15	0	5.9390994
15	64	5.9081172
15	128	5.151656
15	192	5.3038644
15	256	5.018892
15	320	6.7691538
15	384	6.2007378
15	448	7.1001052
15	512	8.1009606
15	576	5.8997178
15	640	6.8945284
15	704	9.0512854
15	768	4.9341314
15	832	9.0570326
15	896	4.724444
15	960	2.0468206
15	1024	7.5214956
15	1088	7.5098198
15	1152	4.3477094
15	1216	6.5303758
15	1280	3.7154964
15	1344	4.6251934
15	1408	4.2393618
15	1472	4.885836
15	1536	4.9263296
15	1600	5.0270978
15	1664	5.1436712
15	1728	4.782905
15	1792	4.328043
15	1856	3.7046286
15	1920	5.3699514
15	1984	5.4616618
15	2048	4.3229684
16	0	5.6593368
16	64	4.7745186
16	128	5.4423786
16	192	5.3648746
16	256	6.1587388
16	320	5.7131092
16	384	5.952182
16	448	6.9933642
16	512	6.4885698
16	576	7.6891102
16	640	1.5979434
16	704	8.1557372
16	768	7.7525086
16	832	1.5802682
16	896	7.361064
16	960	5.871345
16	1024	6.8490744
16	1088	5.3101552
16	1152	3.8128774
16	1216	5.7865662
16	1280	4.2121072
16	1344	5.0911624
16	1408	4.2976168
16	1472	5.4983628
16	1536	4.6947752
16	1600	4.6564538
16	1664	4.1866972
16	1728	4.7607322
16	1792	4.0629248
16	1856	4.0704734
16	1920	3.4665526
16	1984	3.5947262
16	2048	4.4656988
17	0	5.833779
17	64	4.6931654
17	128	4.5879724
17	192	4.6609652
17	256	5.9419906
17	320	6.2225266
17	384	7.3325156
17	448	5.1201168
17	512	7.262136
17	576	5.5349862
17	640	8.0447044
17	704	1.3202758
17	768	7.6891546
17	832	6.5897622
17	896	7.0445568
17	960	2.9082298
17	1024	7.1962876
17	1088	6.6842148
17	1152	6.6152008
17	1216	6.3503376
17	1280	5.5056638
17	1344	5.463289
17	1408	5.313986
17	1472	5.187133
17	1536	3.1813064
17	1600	5.0916274
17	1664	4.9021798
17	1728	3.8142038
17	1792	4.3759032
17	1856	4.2014694
17	1920	3.911868
17	1984	4.110299
17	2048	3.8429426
18	0	4.3251962
18	64	4.2577702
18	128	4.6002936
18	192	5.1473118
18	256	5.8968726
18	320	6.095518
18	384	6.3867956
18	448	4.7342704
18	512	5.9367448
18	576	5.8332054
18	640	6.0796284
18	704	4.9238238
18	768	7.5260234
18	832	7.3156026
18	896	7.6353154
18	960	6.5814422
18	1024	6.5654952
18	1088	6.1412292
18	1152	5.8472704
18	1216	5.8359266
18	1280	5.6350376
18	1344	5.1335502
18	1408	5.090046
18	1472	4.8316564
18	1536	4.6926566
18	1600	4.3385806
18	1664	4.323108
18	1728	4.258873
18	1792	4.0105594
18	1856	4.0228154
18	1920	3.8687616
18	1984	3.700995
18	2048	3.7004784
19	0	4.2222044
19	64	5.6210794
19	128	3.373314
19	192	5.8191608
19	256	4.5864232
19	320	5.289698
19	384	5.2490642
19	448	7.3503218
19	512	5.6957136
19	576	7.895384
19	640	7.3370342
19	704	9.0553296
19	768	8.2829012
19	832	7.1157056
19	896	8.201666
19	960	8.0167654
19	1024	6.8690176
19	1088	5.8204104
19	1152	6.5082824
19	1216	5.660256
19	1280	5.8831124
19	1344	5.6533766
19	1408	3.4024936
19	1472	5.1698444
19	1536	5.2008946
19	1600	4.8536256
19	1664	4.1531668
19	1728	4.4449134
19	1792	4.3061086
19	1856	4.322505
19	1920	3.9625486
19	1984	4.1030198
19	2048	3.0717424
20	0	5.135099
20	64	4.5301496
20	128	4.3164832
20	192	5.2257674
20	256	1.188727
20	320	5.6872
20	384	6.4480946
20	448	6.9479966
20	512	7.054271
20	576	7.4401788
20	640	5.7765352
20	704	8.1575976
20	768	7.0417174
20	832	7.4948014
20	896	7.5346876
20	960	6.8205102
20	1024	6.6509388
20	1088	7.3148298
20	1152	5.9864334
20	1216	6.004366
20	1280	5.449799
20	1344	5.2725354
20	1408	5.3205858
20	1472	4.9238586
20	1536	4.7951586
20	1600	4.4225508
20	1664	4.3881906
20	1728	4.8349834
20	1792	4.4514304
20	1856	3.8440784
20	1920	4.101861
20	1984	3.3695446
20	2048	3.7683606
21	0	5.3715864
21	64	4.3350668
21	128	5.5999928
21	192	6.154405
21	256	6.4037624
21	320	6.814345
21	384	5.8912668
21	448	4.7113242
21	512	7.843056
21	576	7.8474662
21	640	7.9137344
21	704	7.6650854
21	768	7.853214
21	832	7.8574924
21	896	7.917848
21	960	7.4920776
21	1024	5.9976674
21	1088	5.2594338
21	1152	5.7623824
21	1216	6.075586
21	1280	5.8021688
21	1344	5.9727576
21	1408	5.2882914
21	1472	6.4510178
21	1536	4.6930638
21	1600	6.9631324
21	1664	4.7184162
21	1728	6.1867424
21	1792	4.2155048
21	1856	5.6442642
21	1920	3.9545364
21	1984	3.8340504
21	2048	3.8735788
22	0	5.0439344
22	64	4.0823758
22	128	4.9392902
22	192	5.0876574
22	256	5.8309984
22	320	4.6695164
22	384	5.4308418
22	448	5.0754842
22	512	6.776741
22	576	4.4899496
22	640	4.1048738
22	704	8.021171
22	768	5.6363102
22	832	7.483638
22	896	6.7531012
22	960	6.888083
22	1024	5.2380756
22	1088	6.1124752
22	1152	5.58841
22	1216	5.2841082
22	1280	4.3274356
22	1344	4.4666222
22	1408	4.8043674
22	1472	4.6830986
22	1536	4.5157912
22	1600	5.0177952
22	1664	0
22	1728	5.3038552
22	1792	3.9770886
22	1856	3.854908
22	1920	4.278737
22	1984	2.8905564
22	2048	3.543421
23	0	5.2904366
23	64	5.4775988
23	128	5.1951386
23	192	5.5643302
23	256	5.0353448
23	320	6.7153986
23	384	4.0444834
23	448	7.4803374
23	512	7.202738
23	576	5.7956998
23	640	8.415671
23	704	7.886225
23	768	8.4301636
23	832	7.8000202
23	896	4.0284976
23	960	7.4351836
23	1024	4.5103088
23	1088	6.6817144
23	1152	5.027796
23	1216	6.0326314
23	1280	5.269866
23	1344	4.5112764
23	1408	5.095579
23	1472	4.9323834
23	1536	4.6620234
23	1600	4.8931472
23	1664	4.4789708
23	1728	5.6918226
23	1792	4.0451914
23	1856	6.0948776
23	1920	3.9119868
23	1984	6.5428738
23	2048	3.821888
24	0	4.9348154
24	64	5.0125868
24	128	4.9368766
24	192	1.1234718
24	256	5.38707
24	320	6.0038594
24	384	4.9870862
24	448	6.8985412
24	512	2.7497902
24	576	7.3116638
24	640	5.0669372
24	704	6.7916538
24	768	4.7945262
24	832	7.3104542
24	896	5.9748938
24	960	6.8774844
24	1024	6.401056
24	1088	4.601831
24	1152	5.8702458
24	1216	4.652106
24	1280	5.2081218
24	1344	4.0406652
24	1408	5.0023358
24	1472	4.6966018
24	1536	4.5950704
24	1600	4.7692478
24	1664	4.1469948
24	1728	4.9114006
24	1792	3.9892662
24	1856	5.0926268
24	1920	3.1182824
24	1984	5.4623142
24	2048	3.5009872
25	0	5.3594636
25	64	5.4971512
25	128	5.575977
25	192	5.8259968
25	256	5.9873002
25	320	6.7277932
25	384	1.3974832
25	448	7.223308
25	512	4.073249
25	576	5.205344
25	640	7.7371182
25	704	5.406871
25	768	8.5801698
25	832	5.5474032
25	896	7.7527086
25	960	4.3363014
25	1024	6.6812392
25	1088	4.6740492
25	1152	6.4429486
25	1216	4.422097
25	1280	5.8556374
25	1344	4.365609
25	1408	4.4241346
25	1472	4.9683842
25	1536	4.8347718
25	1600	4.741356
25	1664	3.5135926
25	1728	4.1306234
25	1792	4.027541
25	1856	5.4628226
25	1920	3.8523258
25	1984	5.4079906
25	2048	3.7905944
26	0	6.925035
26	64	3.8411094
26	128	6.231979
26	192	5.5500678
26	256	5.7148014
26	320	5.9821406
26	384	6.501
26	448	5.809715
26	512	7.060304
26	576	7.3296586
26	640	7.0417496
26	704	8.2181128
26	768	8.030825
26	832	7.264219
26	896	5.9058126
26	960	2.680837
26	1024	4.4766944
26	1088	6.1585188
26	1152	4.6296816
26	1216	4.0027938
26	1280	4.261
26	1344	5.1680978
26	1408	4.7046222
26	1472	4.6704458
26	1536	4.5000624
26	1600	4.3110258
26	1664	4.153906
26	1728	3.9441132
26	1792	3.8853666
26	1856	3.0933742
26	1920	3.6886152
26	1984	3.529122
26	2048	3.4862988
27	0	5.1439076
